habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
2;2;1;92,00;92,00;4;No definida;9 a 15 años;622.000;6.521.739,13;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;Apartamento;Centro Internacional;600000000,00
1;2;1;56,00;56,00;6;No definida;1 a 8 años;523.000;8.392.857,14;1;0;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;Apartamento;Calleja Baja;470000000,00
3;4;2;144,00;144,00;6;No definida;16 a 30 años;620.000;6.597.222,22;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;Apartamento;Cerros de Suba;950000000,00
1;1;0;31,00;31,00;4;Excelente;menor a 1 año;130.000;7.419.354,84;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazuren;230000000,00
3;2;1;52,00;52,00;4;No definida;1 a 8 años;219.000;5.576.923,08;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;El plan;290000000,00
3;3;1;150,00;150,00;6;Bueno;más de 30 años;872.000;6.533.333,33;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000,00
3;2;1;110,00;100,00;3;No definida;16 a 30 años;135.000;4.181.818,18;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;Apartamento;Ciudad jardin sur;460000000,00
3;2;0;53,00;47,00;3;No definida;9 a 15 años;125.000;3.207.547,17;0;0;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Ub. industrial las delicias;170000000,00
3;3;1;111,00;0,00;4;Excelente;16 a 30 años;No definida;3.873.873,87;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;Casa;Pradera Norte;430000000,00
4;4;2;264,00;264,00;5;Bueno;más de 30 años;836.000;5.303.030,30;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;Apartamento;NICOLÁS DE FEDERMÁN;1400000000,00
3;2;2;97,00;0,00;4;No definida;9 a 15 años;272.000;6.175.257,73;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Pontevedra;599000000,00
2;3;2;87,00;82,00;4;No definida;9 a 15 años;350.000;4.712.643,68;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Los cedros oriental;410000000,00
3;4;2;175,00;175,00;4;No definida;16 a 30 años;No definida;4.285.714,29;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000,00
10;5;2;391,00;0,00;3;No definida;16 a 30 años;No definida;1.994.884,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Sosiego sur;780000000,00
6;4;3;218,00;0,00;4;Bueno;más de 30 años;No definida;3.027.522,94;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000,00
1;2;1;50,00;0,00;5;Bueno;9 a 15 años;310.000;6.800.000;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;Apartamento;Contador;340000000,00
3;3;1;140,00;140,00;4;Bueno;más de 30 años;460.000;5.071.428,57;0;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;Apartamento;Quinta Paredes;710000000,00
4;3;1;90,00;0,00;4;Bueno;más de 30 años;369.000;4.000.000;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000,00
2;3;2;111,00;111,00;6;Bueno;9 a 15 años;786.000;11.261.261,26;1;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;Apartamento;La Cabrera;1250000000,00
12;5;0;375,00;320,00;3;Bueno;16 a 30 años;No definida;1.493.333,33;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000,00
2;3;2;111,00;73,00;4;No definida;16 a 30 años;483.000;3.423.423,42;1;0;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Cedro Golf;380000000,00
4;4;2;307,00;307,00;3;No definida;más de 30 años;No definida;2.931.596,09;0;1;1;0;1;0;1;1;0;0;0;0;1;1;0;1;0;0;Casa;Provivienda norte;900000000,00
3;2;0;61,00;0,00;3;No definida;16 a 30 años;130.000;2.622.950,82;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;Apartamento;Suba Salitre;160000000,00
2;3;4;322,00;277,00;6;No definida;1 a 8 años;2.304.000;9.000.000;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Los Rosales;2898000000,00
5;5;4;280,00;280,00;6;No definida;16 a 30 años;2.200.000;7.142.857,14;0;1;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;Apartamento;La carolina;2000000000,00
3;2;1;59,00;54,00;4;Bueno;16 a 30 años;150.000;4.220.338,98;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Colina Campestre;249000000,00
3;3;2;146,00;133,00;5;Excelente;16 a 30 años;660.000;5.410.958,90;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;Apartamento;Santa Ana Occidental;790000000,00
2;2;1;75,00;75,00;4;Excelente;16 a 30 años;316.000;4.200.000;0;0;1;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;Apartamento;Mazurén;315000000,00
2;2;2;56,00;0,00;4;Excelente;1 a 8 años;266.200;6.428.571,43;1;1;1;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Apartamento;Cedritos;360000000,00
3;2;2;87,00;0,00;5;No definida;1 a 8 años;390.000;5.965.517,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Colina Campestre;519000000,00
3;2;1;59,00;59,00;3;Excelente;menor a 1 año;80.000;4.830.508,47;0;0;0;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;Apartamento;La granja;285000000,00
2;1;1;55,00;88,00;4;No definida;16 a 30 años;159.000;5.436.363,64;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;Apartamento;Belmira;299000000,00
3;3;1;112,00;112,00;4;Excelente;más de 30 años;638.000;4.017.857,14;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Puente Largo;450000000,00
3;2;1;100,00;100,00;5;Bueno;16 a 30 años;440.000;5.000.000;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;Apartamento;Colina Campestre;500000000,00
1;2;1;72,00;72,00;5;No definida;más de 30 años;140.000;5.541.666,67;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;Casa;La Calleja;399000000,00
4;3;1;102,00;102,00;5;Bueno;más de 30 años;620.000;5.098.039,22;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;Alhambra;520000000,00
3;2;1;80,13;72,00;5;Excelente;1 a 8 años;357.000;6.489.454,64;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;1;Apartamento;Colina Campestre;520000000,00
2;1;0;52,00;52,00;3;No definida;16 a 30 años;70.000;4.134.615,38;0;0;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Galerias;215000000,00
3;2;2;136,00;136,00;6;No definida;16 a 30 años;933.000;5.882.352,94;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;Apartamento;San Patricio;800000000,00
2;2;1;73,54;73,00;4;Excelente;16 a 30 años;266.000;4.011.422,36;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;El redil;295000000,00
3;5;6;390,00;800,00;5;Excelente;1 a 8 años;1.050.000;6.410.256,41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;San José de Bavaria;2500000000,00
2;2;1;93,00;93,00;5;Excelente;9 a 15 años;450.000;5.913.978,49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000,00
3;2;3;210,00;210,00;6;Bueno;16 a 30 años;1.264.000;3.714.285,71;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;780000000,00
3;2;0;78,00;78,00;3;Excelente;9 a 15 años;130.000;3.012.820,51;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Suba Compartir;235000000,00
9;6;1;418,00;0,00;3;Bueno;más de 30 años;No definida;2.153.110,05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;La española;900000000,00
3;3;2;116,00;116,00;5;Excelente;1 a 8 años;990.000;6.293.103,45;1;1;1;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;Apartamento;Santa Paula;730000000,00
5;4;2;460,00;250,00;4;No definida;más de 30 años;No definida;2.173.913,04;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;Normandía;1000000000,00
4;3;1;130,00;130,00;3;Excelente;menor a 1 año;No definida;2.692.307,69;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;Casa;Zona Noroccidente;350000000,00
2;2;2;66,00;66,00;6;Bueno;1 a 8 años;700.000;9.393.939,39;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;Santa Bárbara;620000000,00
3;2;2;103,00;0,00;4;Excelente;menor a 1 año;370.000;6.019.417,48;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Santa teresa;620000000,00
3;2;1;82,00;72,00;5;Excelente;más de 30 años;549.000;5.853.658,54;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Bella Suiza;480000000,00
2;3;2;133,00;133,00;6;No definida;16 a 30 años;910.000;5.263.157,89;1;1;0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;Apartamento;Santa Bárbara;700000000,00
2;3;2;95,00;95,00;6;Excelente;16 a 30 años;545.000;5.789.473,68;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;Apartamento;Chicó;550000000,00
4;4;2;156,00;147,00;6;Excelente;16 a 30 años;857.000;6.794.871,79;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;Casa;La Carolina;1060000000,00
3;2;1;58,00;53,00;3;No definida;más de 30 años;180.000;4.051.724,14;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;Apartamento;Granada Norte;235000000,00
3;2;1;120,00;120,00;3;Bueno;16 a 30 años;195.000;2.750.000;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;Nuevo Techo;330000000,00
4;5;6;532,00;1440,00;6;Excelente;1 a 8 años;1.355.000;4.323.308,27;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Casa;Guaymaral;2300000000,00
3;3;2;92,00;92,00;4;No definida;No definida;440.000;5.978.260,87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Cedritos;550000000,00
2;2;1;80,00;80,00;6;Excelente;16 a 30 años;890.000;7.437.500;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;Apartamento;El Virrey;595000000,00
12;6;1;380,00;0,00;3;No definida;1 a 8 años;No definida;1.184.210,53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;La andrea;450000000,00
3;2;1;60,00;60,00;3;Excelente;9 a 15 años;215.000;4.833.333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000,00
5;3;2;200,00;0,00;3;No definida;16 a 30 años;No definida;3.750.000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Casa;Paris gaitan;750000000,00
1;2;1;56,00;0,00;4;Excelente;1 a 8 años;700.000;8.035.714,29;1;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;Apartamento;Chapinero Alto;450000000,00
1;2;2;70,00;105,00;1;Excelente;9 a 15 años;320.000;7.857.142,86;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;Apartamento;Chico norte;550000000,00
5;4;1;176,00;176,00;3;No definida;más de 30 años;No definida;2.443.181,82;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;Casa;San Andres II Sector;430000000,00
3;2;1;74,00;74,00;4;No definida;16 a 30 años;285.000;4.189.189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000,00
3;2;0;55,00;50,00;3;Excelente;9 a 15 años;109.000;4.000.000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000,00
3;2;1;68,00;68,00;4;No definida;menor a 1 año;No definida;5.882.352,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Alsacia;400000000,00
11;6;2;320,00;320,00;3;Bueno;16 a 30 años;No definida;2.187.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;Casa;Santa Rita;700000000,00
2;2;0;68,00;68,00;2;Excelente;menor a 1 año;No definida;2.794.117,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa La Paz;190000000,00
3;2;1;60,00;60,00;3;Excelente;9 a 15 años;215.000;4.833.333,33;1;1;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;Sotavento;290000000,00
3;2;0;95,00;9353,00;4;Excelente;más de 30 años;85.000;4.052.631,58;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000,00
3;3;1;90,00;90,00;3;Excelente;16 a 30 años;290.000;4.833.333,33;0;1;1;1;0;1;0;0;1;0;1;1;0;1;0;1;0;0;Apartamento;Metropolis;435000000,00
2;3;2;87,00;85,00;5;Excelente;1 a 8 años;745.000;5.511.494,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Pasadena;479500000,00
3;2;1;86,00;80,00;3;Excelente;1 a 8 años;No definida;3.720.930,23;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000,00
3;3;2;120,00;120,00;6;Bueno;16 a 30 años;892.000;5.816.666,67;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;Apartamento;rosales;698000000,00
3;3;3;212,00;212,00;6;Bueno;más de 30 años;1.930.000;5.613.207,55;1;1;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;Apartamento;Chicó Navarra;1190000000,00
4;3;2;275,00;275,00;5;Bueno;más de 30 años;200.000;3.490.909,09;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;Casa;Pontevedra;960000000,00
4;3;2;120,00;110,00;5;Excelente;16 a 30 años;500.000;3.332.500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Bella suiza;399900000,00
3;3;3;191,00;191,00;6;Excelente;más de 30 años;960.000;7.068.062,83;1;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;Apartamento;El Refugio;1350000000,00
2;2;1;59,00;59,00;3;Bueno;16 a 30 años;278.500;4.322.033,90;0;1;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;Apartamento;Prado Pinzon;255000000,00
1;1;1;40,00;40,00;3;Bueno;16 a 30 años;141.000;7.000.000;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;zona centro;280000000,00
2;2;2;70,00;61,00;4;No definida;menor a 1 año;420.000;7.428.571,43;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Pardo rubio;520000000,00
3;2;1;65,00;65,00;4;Excelente;9 a 15 años;170.000;4.152.307,69;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;San Antonio Norte;269900000,00
2;1;1;63,00;63,00;4;No definida;más de 30 años;387.000;3.968.253,97;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;Apartamento;Cedro Golf;250000000,00
3;2;0;110,00;110,00;3;No definida;No definida;No definida;2.181.818,18;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Apartamento;La Aurora;240000000,00
5;3;1;200,00;160,00;4;Bueno;más de 30 años;No definida;3.500.000;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Casa;Palermo;700000000,00
3;3;2;120,00;120,00;6;No definida;16 a 30 años;688.000;5.666.666,67;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;1;Apartamento;Chico norte;680000000,00
3;3;1;75,00;67,00;4;Bueno;9 a 15 años;260.000;4.600.000;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Villa alsacia;345000000,00
1;1;1;33,00;33,00;3;No definida;1 a 8 años;220.000;7.272.727,27;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;0;0;0;Apartamento;Chapinero central;240000000,00
3;2;0;51,00;51,00;2;Excelente;9 a 15 años;70.000;2.350.980,39;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;Apartamento;Bosa San Diego;119900000,00
2;1;1;49,00;0,00;3;No definida;16 a 30 años;No definida;5.918.367,35;0;1;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Apartamento;Tabora;290000000,00
3;2;0;55,00;50,00;3;Excelente;9 a 15 años;109.000;4.000.000;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Apartamento;Zona Noroccidente;220000000,00
3;2;1;60,00;60,00;4;No definida;16 a 30 años;291.000;5.666.666,67;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;Apartamento;Usaquén;340000000,00
2;1;1;52,00;52,00;4;Bueno;más de 30 años;207.000;4.038.461,54;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;Apartamento;Caobos salazar;210000000,00
2;2;1;61,00;0,00;4;Excelente;16 a 30 años;217.000;5.573.770,49;1;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0;0;Apartamento;Gran America;340000000,00
5;3;2;260,00;260,00;4;No definida;más de 30 años;No definida;3.807.692,31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;Casa;Modelia;990000000,00
4;5;4;200,00;0,00;5;Excelente;1 a 8 años;1.000.000;4.900.000;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;Apartamento;Cedritos;980000000,00
4;3;1;90,00;0,00;4;Bueno;más de 30 años;369.000;4.000.000;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;Apartamento;Cedro Golf;360000000,00
3;3;1;150,00;150,00;6;Bueno;más de 30 años;872.000;6.533.333,33;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;Apartamento;La Cabrera;980000000,00
3;2;1;70,00;70,00;4;Excelente;16 a 30 años;211.000;4.028.571,43;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Casa;El Redil;282000000,00
3;2;1;74,00;74,00;4;No definida;16 a 30 años;285.000;4.189.189,19;0;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Campanella;310000000,00
